41.52,42.54,46.61,53.23,60.96,70.32,81.72,97.75,116.19,131.91,151.02,174.65,188.2,213.94,242.48,263.43,290.07,311.14,329.53,355.61,382.83,405.02,434.18,431.48,447.37,477.82,498.89,499.18,500.71,509.65,515.34,521.7,521.7,523.3,516.55,505.57,489.63,487.7,480.54,461.41,438.23,420.43,397.32,384.28,362.47,337.88,311.74,281.25,259.89,241.56,218.09,196.01,172.66,150.44,129.38,115.09,100,83.8,70.46,59.69,53.03,47.41,43.28,41.84
41.52,41.8,45.01,53.33,61.43,70.32,82.52,96.06,113.56,132.93,152.48,173,193.04,211.86,239.72,267.48,290.62,309.35,330.82,354.92,382.83,406.56,426.09,442.45,453.51,473.29,493.3,500.13,503.63,509.65,507.38,519.7,522.7,524.29,514.57,503.63,494.4,489.57,476.01,465.8,444.99,416.39,394.24,387.2,360.41,334.67,309.95,281.8,261.41,242.02,216.85,193.41,170.68,148.7,132.67,115.75,96.81,83,68.15,59.92,53.23,46.88,42.87,40.4
41.44,42.95,46.7,52.13,60.03,71,83.8,97.19,113.78,132.67,151.6,170.68,193.41,217.26,239.26,262.42,287.31,312.93,334.67,355.61,378.45,401.17,421.24,439.92,457.02,473.29,484.91,495.36,505.57,515.56,518.32,518.7,519.7,518.32,513.59,505.57,495.36,485.84,472.38,457.02,439.92,421.24,401.17,379.91,356.98,334.67,310.54,287.31,263.43,239.72,216.43,194.15,172,151.31,131.91,114,97.75,83.32,71,60.62,52.33,46.43,42.95,41.68
42.32,43.12,46.25,50.52,59.69,72.77,83.32,98.5,111.16,130.9,155.67,174.32,194.15,214.35,235.12,268.99,290.07,314.13,332.1,356.3,378.45,403.48,426.9,443.3,453.51,461.5,490.5,506.81,508.49,510.63,513.35,510.71,530.7,522.3,511.62,509.46,490.59,484.91,481.45,458.78,442.45,420.43,396.55,385.74,360.41,337.88,312.93,282.9,256.35,243.4,218.51,194.53,172.66,149.28,131.15,116.41,97.19,83.48,70.73,59.69,53.13,46.97,42.21,41.84
42.24,42.54,45.45,51.72,62.01,70.87,83.48,97.94,110.94,131.91,154.22,172.33,194.53,212.69,234.2,268.49,290.07,312.33,331.46,350.12,377.72,407.33,426.09,440.76,450.88,462.41,494.23,503.95,504.6,509.65,502.41,526.7,530.7,520.31,512.6,499.74,497.27,497.03,475.1,457.02,427.25,416.39,411.18,386.47,356.3,327.6,304.57,292.28,266.46,240.64,213.11,190.06,174.98,152.48,132.42,112.47,96.06,84.92,71.68,60.73,51.93,45.45,43.53,42.32
41.36,43.61,47.06,51.62,59.34,72.36,85.72,98.5,112.69,128.88,155.09,177.95,196.76,213.94,228.22,270,291.73,312.93,326.96,343.25,388.66,405.79,426.09,433.16,447.37,471.47,489.57,504.9,510.44,505.7,508.37,526.7,531.7,522.3,501.76,493.91,507.77,490.5,475.1,455.27,424.72,420.43,412.72,378.45,350.12,328.25,314.13,292.28,265.45,240.64,213.52,190.06,173.99,155.67,132.67,112.47,95.31,84.44,71.95,60.62,51.72,44.74,42.79,42.56
42.24,43.12,46.34,52.83,59.8,69.91,84.44,98.88,113.56,132.67,152.18,169.69,193.78,219.75,239.26,261.91,290.62,309.95,330.17,359.04,385.01,399.63,418.81,444.99,457.02,464.22,486.77,503.95,502.66,509.65,526.28,521.7,510.71,518.32,521.48,502.66,491.54,492.37,476.01,450.01,436.54,427.71,401.94,374.8,359.04,340.45,309.95,283.45,263.43,241.56,215.18,192.67,173.66,152.48,130.65,113.13,97.94,83.64,70.46,60.38,52.63,46.7,42.71,41.52
41.84,43.36,46.52,52.53,60.62,71,83.32,98.31,114,130.4,148.99,175.97,196.76,212.69,234.66,271.01,292.28,311.74,332.1,348.06,389.39,408.87,423.67,437.39,440.36,480.54,493.3,494.4,497.8,497.82,521.31,527.7,518.7,517.33,512.6,499.74,496.31,495.16,479.63,451.76,431.48,422.86,406.56,385.01,355.61,330.82,308.75,290.62,265.96,241.56,216.01,189.69,172.66,153.06,133.43,114.66,95.69,82.04,72.36,60.73,53.13,45.99,42.13,42.48
42.16,43.04,46.43,51.93,60.03,71.27,83.96,98.5,114,131.15,150.44,171.34,195.27,218.09,242.02,260.4,286.21,316.52,335.95,359.04,374.08,397.32,423.67,444.99,457.02,472.38,479.31,495.36,512.38,519.5,524.29,521.7,509.71,516.33,521.48,510.44,499.18,478.38,463.31,466.67,444.14,423.67,398.09,372.62,362.47,341.09,309.95,286.76,257.36,238.8,221,194.9,172.33,148.7,131.15,116.63,97.94,83.48,69.51,59.57,53.43,47.14,42.79,41.12
41.04,43.04,46.97,52.03,60.27,71.82,83,96.06,114.22,133.43,150.73,171.34,196.01,216.85,235.58,262.42,290.62,311.14,330.82,360.41,385.01,398.86,413.96,440.76,460.53,469.66,483.04,502.04,510.44,507.67,513.35,522.7,522.7,516.33,511.62,510.44,500.13,483.04,469.66,456.15,441.61,421.24,399.63,380.64,359.73,334.67,309.35,286.21,263.43,240.18,216.01,193.41,172.66,151.89,131.66,113.78,97.56,83.32,71,60.62,52.43,46.61,42.79,41.52
41.84,42.54,45.01,52.03,61.2,71.55,83.8,97.19,113.56,130.4,151.02,173,195.27,216.01,236.96,261.41,288.97,312.93,336.6,358.36,376.99,397.32,422.05,443.3,461.41,474.19,481.18,491.54,508.49,516.55,522.3,522.7,517.7,512.35,515.56,508.49,497.27,487.7,466.94,451.76,443.3,424.47,402.71,379.18,354.92,330.17,313.53,289.52,264.95,239.72,213.94,192.29,173.33,153.35,132.93,113.78,96.44,82.84,71.82,60.96,53.33,46.16,42.38,42
42.08,43.12,46.52,51.93,60.5,73.18,85.72,98.31,111.16,127.1,155.67,173.66,193.41,213.94,236.96,270,296.14,312.93,326.32,341.88,383.56,415.03,425.28,435.7,436.85,473.29,496.1,503.95,505.57,502.75,515.34,538.69,522.7,517.33,495.85,500.71,518.26,496.1,469.66,446.5,426.41,427.71,410.41,382.83,354.92,320.54,311.14,297.24,267.98,238.8,210.2,191.55,176.96,154.8,131.15,112.47,96.62,84.76,72.91,60.73,52.03,45.81,42.13,42.56
41.2,43.2,47.23,52.13,59.8,70.73,84.12,97.75,113.56,132.67,152.77,171.67,192.67,216.01,241.1,264.44,286.76,311.74,337.24,359.73,379.18,399.63,421.24,442.45,457.02,472.38,488.64,500.13,506.55,512.6,517.33,520.7,521.7,518.32,513.59,508.49,499.18,484.91,470.57,457.02,440.76,422.05,401.94,381.37,357.67,333.38,310.54,287.87,263.94,239.72,216.85,194.15,172.33,151.31,131.91,114,97.75,83.48,71,60.73,52.43,46.43,42.87,41.68
