42.64,43.36,45.72,52.63,62.94,72.91,83.8,97.37,117.94,138.24,155.96,172,197.13,229.31,252.61,270,289.52,330.85,361.65,373.46,379.18,408.1,447.11,455.12,461.41,469.66,502.62,533.54,521.13,520.49,573.04,605.65,581.67,555.13,524.43,539.6,535.44,515.68,489.61,455.27,447.52,434.18,405.79,372.62,337.76,323.11,306.36,282.35,254.83,228.68,210.61,193.04,170.02,145.5,124.07,108.75,97,82.84,69.1,58.18,49.92,45.54,42.46,40.88
47.28,49.12,51.69,56.04,66.19,77.53,88.12,94.94,105.69,129.64,153.64,169.69,184.48,203.97,232.36,259.39,276.84,293.82,316.04,347.37,374.08,388.08,399.41,414.59,442.11,466.03,475.58,478.18,476.41,493.87,511.36,517.7,504.71,493.45,491.9,499.74,498.22,473.72,453.34,435.97,428.94,420.43,398.09,368.24,346.68,323.75,305.17,285.66,258.88,233.74,211.03,188.58,169.03,150.44,129.64,111.81,95.87,81.08,69.51,60.03,51.83,45.81,42.29,40.56
43.52,44.52,46.61,51.72,63.87,76.44,85.4,97.56,122.75,146.35,159.45,176.3,218.33,260.46,284.36,306.91,358.45,427.59,429.74,363.16,339.07,395.78,413.96,394.32,352.64,413.45,475.58,461.95,463.77,484.02,535.24,547.69,539.69,519.32,564.85,575.58,536.4,502.62,488.7,500.01,467.78,430.94,401.94,382.1,378.26,348.16,309.35,276.84,261.41,246.63,218.51,186.72,160.78,146.96,131.91,113.56,93.81,78.85,69.64,61.31,52.83,45.1,41.06,40.56
41.76,42.38,46.61,54.24,61.54,68.28,83.96,103.57,115.75,126.09,151.6,184.55,200.11,207.29,234.66,276.07,292.28,296.81,321.18,370.03,391.58,381.92,377.58,434.85,478.08,470.57,450.4,477.22,528.91,516.55,480.52,483.72,529.7,540.21,507.67,474.46,491.54,505.42,479.63,437.72,420.5,426.9,417.34,379.91,346,329.53,318.9,296.14,261.91,234.66,216.85,200.11,177.29,150.15,128.37,114,100.75,86.36,70.59,59.34,52.33,47.59,44.43,41.68
42.8,42.38,45.81,53.53,62.36,70.87,82.68,100.75,118.81,134.95,148.99,176.63,206.06,224.32,236.04,268.99,306.62,327.86,339.81,365.91,408.35,431.2,430.94,439.08,480.71,504.11,491.43,469.59,496.82,528.38,519.32,490.72,493.72,527.28,510.63,484.18,517.31,465.32,451.53,427.2,410.37,401.84,415.8,395.95,378.26,344.3,325.47,307.72,277.59,246.17,228.48,210.52,182.9,155.09,131.91,117.94,102.07,85.56,71.14,60.15,53.63,47.86,43.28,41.28
41.2,44.19,47.59,51.42,60.03,73.04,85.24,99.06,113.56,131.66,155.38,176.63,197.5,211.03,242.02,274.05,295.04,312.33,328.25,368.65,391.58,405.79,416.39,437.39,472.81,479.63,489.57,483.9,506.55,529.36,527.28,521.7,509.71,529.27,529.36,515.3,501.08,482.11,487.79,472.81,450.9,426.09,403.48,395.22,372.09,342.38,311.74,284.56,268.49,245.24,215.6,187.46,161.11,146.09,129.38,111.16,94.94,79.97,70.59,61.08,51.83,45.72,40.98,41.04
43.04,43.45,47.23,52.53,60.62,72.63,84.44,98.31,115.97,131.41,150.44,174.65,193.04,215.18,240.18,259.89,280.15,310.54,332.1,352.86,379.18,395.78,407.5,434.01,456.15,463.31,481.18,500.13,506.55,517.53,529.27,521.7,517.7,521.31,515.56,503.63,497.27,491.43,473.29,456.15,440.76,422.05,395.78,377.72,361.1,334.67,309.95,289.52,264.44,236.96,214.35,193.78,171.01,148.99,131.41,113.56,96.25,82.04,70.73,60.03,51.62,46.08,42.71,41.12
42.4,43.53,43.76,47.71,55.27,63.79,71.65,83.87,107,132.67,147.54,167.38,190.81,220.17,245.24,263.43,284.56,302.78,332.74,362.47,379.91,392.7,398.6,428.1,468.43,488.7,500.76,510.63,519.19,545.13,551.15,540.69,530.7,517.33,524.43,525.02,508.72,491.43,476.91,467.55,461.03,439.84,409.64,385.01,357.67,336.6,319.5,291.73,262.42,240.64,213.52,192.67,173.99,149.86,129.89,112.69,94.94,81.56,70.59,59.57,51.32,45.9,41.88,40.64
42.24,43.69,47.32,52.93,60.85,71.95,86.2,100.75,114.44,132.67,156.83,179.6,200.85,218.92,247.09,278.09,303.31,323.08,338.52,367.97,392.31,405.79,409.92,408.68,414.92,394.41,388.86,398.96,446.27,558.93,581,568.67,541.69,502.41,506.69,494.88,482.95,477.45,462.41,460.53,450.05,432.56,408.1,379.18,368.65,349.44,318.31,285.11,254.83,230.98,211.03,185.6,163.75,144.34,128.12,114.22,97.19,81.72,69.1,58.76,52.33,47.41,43.69,42
44,46.82,50.17,52.13,48.77,56.72,73.57,88.37,103.28,122.8,142.89,167.71,204.57,232.63,252.61,275.06,295.04,324.88,341.09,367.97,394.49,409.64,418.81,423.88,449.13,475.1,486.77,488.68,486.13,502.75,521.31,523.7,512.71,494.45,495.85,497.8,482,466.26,454.25,440.36,439.08,426.9,402.71,379.18,354.92,340.45,319.5,293.38,266.97,238.8,218.92,200.85,177.62,153.93,132.93,113.13,98.13,83.96,69.91,58.99,50.62,45.18,42.87,41.84
40.96,42.87,47.68,53.13,59.92,70.59,84.6,100.75,115.31,132.42,150.73,178.28,199.73,221.83,239.26,268.49,299.45,317.11,335.95,352.86,386.47,412.72,428.52,439.92,456.15,488.7,503.56,508.72,505.57,514.57,534.24,525.7,528.7,492.46,533.3,495.85,430.46,411.24,401.66,418.43,424.72,406.69,401.94,382.83,380.32,360.36,320.1,293.38,271.01,255.37,238.86,212.75,186.53,157.99,138.5,121.44,102.63,86.36,71.14,60.96,54.34,47.95,43.36,41.36
42.32,43.36,46.97,54.44,63.17,73.45,87.64,101.88,117.72,139,157.41,177.29,201.97,221.83,244.32,270,290.62,312.93,333.38,347.37,368.24,399.63,416.39,432.32,452.64,464.22,473.72,495.36,504.6,506.69,512.35,510.71,502.71,508.37,510.63,496.82,491.54,483.97,465.13,450.88,446.67,428.52,408.87,387.93,362.47,332.74,305.17,284.56,258.88,235.12,215.18,193.04,170.68,151.89,134.45,116.19,99.81,85.56,72.23,60.73,52.43,47.06,43.04,41.36
42.88,43.78,46.52,52.43,62.47,73.45,85.4,97.94,116.19,139,158.57,178.28,196.76,226.4,256.75,282.64,307.17,337.42,386.7,385.82,376.99,403.48,398.6,405.3,412.29,425.23,425.23,451.45,489.05,495.85,476.54,464.73,498.71,522.3,509.65,509.46,496.31,497.96,489.61,464.04,439.08,413.15,405.79,387.93,361.1,329.53,303.97,292.28,272.53,243.4,215.18,189.69,173.66,154.22,132.42,112.25,94.56,83.16,71.95,60.62,51.72,45.18,43.04,42.48
